"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"batchtools","batchtools","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.9.11",NA,"R (>= 3.0.0), data.table (>= 1.11.2)","backports (>= 1.1.2), base64url (>= 1.1), brew, checkmate (>=
1.8.5), digest (>= 0.6.9), fs (>= 1.2.0), parallel, progress
(>= 1.1.1), R6, rappdirs, stats, stringi, utils, withr (>=
2.0.0)",NA,"debugme, doParallel, doMPI, e1071, foreach, future,
future.batchtools, knitr, parallelMap, ranger, rmarkdown,
rpart, snow, testthat, tibble",NA,"LGPL-3",NA,NA,NA,NA,"yes","3.6.1"
"BayesFactor","BayesFactor","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.9.12-4.2",NA,"R (>= 3.2.0), coda, Matrix (>= 1.1-1)","pbapply, mvtnorm, stringr, utils, graphics, gtools,
MatrixModels, Rcpp (>= 0.11.2), methods, hypergeo","Rcpp (>= 0.11.2), RcppEigen (>= 0.3.2.2.0)","doMC, foreach, testthat, knitr, markdown, arm, lme4, xtable,
languageR",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"BayesMallows","BayesMallows","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.4.1",NA,"R (>= 2.10)","Rcpp (>= 1.0.0), ggplot2 (>= 3.1.0), Rdpack (>= 0.8), stats,
igraph (>= 1.2.2), dplyr (>= 0.7.8), sets (>= 1.0-18),
relations (>= 0.6-8), tidyr (>= 0.8.2), purrr (>= 0.3.0), rlang
(>= 0.3.1), PerMallows (>= 1.13), HDInterval (>= 0.2.0),
cowplot (>= 0.9.3)","Rcpp, RcppArmadillo","testthat (>= 2.0), label.switching (>= 1.7), readr (>=
1.3.1), stringr (>= 1.4.0), gtools (>= 3.8.1), knitr (>= 1.21),
rmarkdown, covr, parallel (>= 3.5.1)",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"bayesmeta","bayesmeta","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","2.4",NA,"forestplot (>= 1.6), metafor (>= 2.0-0)",NA,NA,"compute.es, knitr, rmarkdown, R.rsp",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"bayesplot","bayesplot","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.7.0",NA,"R (>= 3.1.0)","dplyr (>= 0.8.0), ggplot2 (>= 2.2.1), ggridges, glue,
reshape2, rlang (>= 0.3.0), stats, tibble, tidyselect, utils",NA,"gridExtra (>= 2.2.1), hexbin, knitr (>= 1.16), loo (>=
2.0.0), RColorBrewer, rmarkdown (>= 1.0.0), rstan (>= 2.17.1),
rstanarm (>= 2.17.4), rstantools (>= 1.5.0), scales, shinystan
(>= 2.3.0), testthat (>= 2.0.0), vdiffr",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.6.1"
"bayesSurv","bayesSurv","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","3.2",NA,"R (>= 3.0.0), survival, coda, smoothSurv","graphics, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"bayestestR","bayestestR","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.4.0",NA,"R (>= 3.0)","insight (>= 0.6.0), methods, stats, utils",NA,"BayesFactor, bridgesampling, brms, broom, covr, dplyr,
emmeans, GGally, ggplot2, ggridges, KernSmooth, knitr, MASS,
mclust, lme4, logspline, performance, rmarkdown, rstan,
rstanarm, see, stringr, testthat, tidyr",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"BayesTree","BayesTree","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.3-1.4",NA,NA,"nnet",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"bbmle","bbmle","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.0.20",NA,"R (>= 3.0.0), stats4","stats, numDeriv, lattice, MASS, methods",NA,"emdbook, rms, ggplot2, RUnit, MuMIn, AICcmodavg, Hmisc,
optimx (>= 2013.8.6), knitr, testthat",NA,"GPL",NA,NA,NA,NA,"no","3.6.1"
"bclust","bclust","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.5",NA,"R (>= 3.2.1), stats, grDevices, graphics",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"bdsmatrix","bdsmatrix","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.3-3",NA,"methods, R (>= 2.0.0)",NA,NA,NA,NA,"LGPL-2",NA,NA,NA,NA,"yes","3.6.1"
"bezier","bezier","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.1.2",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"bild","bild","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.1-5",NA,"R (>= 2.10.0), methods, stats, graphics, utils",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"binda","binda","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.0.3",NA,"R (>= 3.0.2), entropy (>= 1.2.1)","graphics, stats, utils",NA,"crossval",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.6.1"
"binman","binman","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.1.1",NA,"R (>= 3.3)","rappdirs, yaml, httr, jsonlite, xml2, utils, stats,
assertthat, semver",NA,"testthat, covr, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"binMto","binMto","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.0-7",NA,NA,"mvtnorm",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"binom","binom","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.1-1",NA,NA,NA,NA,"lattice, polynom, tcltk, ggplot2",NA,"GPL",NA,NA,NA,NA,"yes","3.6.1"
"BlandAltmanLeh","BlandAltmanLeh","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.3.1",NA,NA,NA,NA,"ggplot2, knitr, ggExtra",NA,"GPL",NA,NA,NA,NA,"no","3.6.1"
"blme","blme","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.0-4",NA,"R (>= 3.0-0), lme4 (>= 1.0-6)","methods, stats, utils",NA,"testthat (>= 0.9-0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"blockcluster","blockcluster","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","4.4.3",NA,"R (>= 3.0.2), rtkore (>= 1.5.5)","methods","Rcpp",NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.6.1"
"blogdown","blogdown","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.16",NA,NA,"rmarkdown (>= 1.11), bookdown (>= 0.9), knitr (>= 1.21),
htmltools, yaml (>= 2.1.19), httpuv (>= 1.4.0), xfun (>= 0.5),
servr (>= 0.13)",NA,"testit, shiny, miniUI, stringr, rstudioapi, tools, processx,
later",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"BMA","BMA","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","3.18.10",NA,"survival, leaps, robustbase, inline, rrcov","methods",NA,"MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"bookdown","bookdown","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.14",NA,NA,"htmltools (>= 0.3.6), knitr (>= 1.22), rmarkdown (>= 1.12),
xfun (>= 0.6), tinytex (>= 0.12)",NA,"htmlwidgets, rstudioapi, miniUI, rsconnect (>= 0.4.3), servr
(>= 0.13), shiny, testit (>= 0.9), tufte, webshot",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"Boom","Boom","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.9.3",NA,"MASS, R(>= 3.1.0)",NA,NA,"testthat",NA,"LGPL-2.1 | file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"BoomSpikeSlab","BoomSpikeSlab","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.2.1",NA,"Boom (>= 0.9.2) , R (>= 3.1.0)","igraph","Boom(>= 0.9.2)","MASS, testthat, mlbench",NA,"LGPL-2.1 | file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"brms","brms","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","2.10.0",NA,"R (>= 3.5.0), Rcpp (>= 0.12.0), methods","rstan (>= 2.19.2), ggplot2 (>= 2.0.0), loo (>= 2.1.0), Matrix
(>= 1.1.1), mgcv (>= 1.8-13), rstantools (>= 1.5.1), bayesplot
(>= 1.5.0), shinystan (>= 2.4.0), bridgesampling (>= 0.3-0),
glue (>= 1.3.0), matrixStats, nleqslv, nlme, coda, abind,
future, stats, utils, parallel, grDevices, backports",NA,"testthat (>= 0.9.1), RWiener, mice, spdep, mnormt, lme4,
MCMCglmm, splines2, ape, arm, statmod, digest, R.rsp, knitr,
rmarkdown",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.6.1"
"broom.mixed","broom.mixed","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.2.4",NA,NA,"broom, dplyr, tidyr, plyr, purrr, tibble, reshape2, nlme,
methods, stringr, coda, TMB",NA,"knitr, testthat, ggplot2, Matrix, MCMCglmm, lme4, rstan,
rstanarm, brms, mgcv, gamlss, gamlss.data, lmerTest, glmmADMB,
glmmTMB, dotwhisker, pander, R2jags",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"broomExtra","broomExtra","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.0.6",NA,"R (>= 3.5.0)","broom (>= 0.5.2), broom.mixed (>= 0.2.4), dplyr (>= 0.8.3),
magrittr (>= 1.5), purrr (>= 0.3.3), rlang (>= 0.4.1), rsample
(>= 0.0.5), tidyr (>= 1.0.0)",NA,"generics, ggplot2, knitr, lme4, rmarkdown, spelling, stringr,
testthat",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"bs4Dash","bs4Dash","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.4.0",NA,NA,"shiny, htmltools",NA,"plotly, shinyWidgets, knitr, rmarkdown",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"bsplus","bsplus","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.1.1",NA,"R (>= 3.3.0)","htmltools, magrittr, purrr, lubridate, stringr, rmarkdown,
methods, glue",NA,"testthat, shiny, covr, knitr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"BVAR","BVAR","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.2.1",NA,"R (>= 3.3.0)","mvtnorm, stats, graphics, utils",NA,"coda, vars",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"C50","C50","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.1.2",NA,"R (>= 2.10.0)","partykit, Cubist (>= 0.2.1)",NA,"recipes, knitr",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"ca","ca","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.71",NA,"R (>= 3.0.0)",NA,NA,"rgl (>= 0.64-10), vcd",NA,"GPL",NA,NA,NA,NA,"no","3.6.1"
"caretEnsemble","caretEnsemble","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","2.0.0",NA,"R (>= 3.2.0)","methods, pbapply, ggplot2, digest, plyr, lattice, gridExtra,
data.table, caret",NA,"caTools, testthat, lintr, randomForest, glmnet, rpart,
kernlab, nnet, e1071, ipred, pROC, knitr, mlbench, MASS, gbm,
klaR",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"cate","cate","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.1",NA,NA,"Matrix, MASS, esaBcv, ruv, sva, corpcor, leapp",NA,"knitr, ggplot2, gridExtra",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"cdata","cdata","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.1.3",NA,"R (>= 3.4.0)","wrapr (>= 1.9.2), rquery (>= 1.3.9), rqdatatable (>= 1.2.3),
methods, stats",NA,"DBI, RSQLite, knitr, RUnit, yaml",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.6.1"
"CDM","CDM","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","7.4-19",NA,"R (>= 3.1), mvtnorm","graphics, grDevices, methods, polycor, Rcpp, stats, utils","Rcpp, RcppArmadillo","BIFIEsurvey, lattice, MASS, miceadds, ROI, sirt, sfsmisc","dina, GDINA, mirt, rrum, TAM","GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"checkpoint","checkpoint","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.4.7",NA,"R(>= 3.0.0)","utils",NA,"knitr, rmarkdown, testthat(>= 0.9), MASS, darts, mockery, cli",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"cliapp","cliapp","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.1.0",NA,NA,"cli, crayon, fansi, glue (>= 1.3.0), prettycode, progress (>=
1.2.0), R6, selectr, utils, withr, xml2",NA,"callr, covr, rstudioapi, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"cloudml","cloudml","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.6.1",NA,"R (>= 3.3.0), tfruns (>= 1.3)","config, jsonlite, packrat, processx, rprojroot, rstudioapi,
tools, utils, withr, yaml",NA,"tensorflow (>= 1.4.2), keras (>= 2.1.2), knitr, testthat",NA,"Apache License 2.0",NA,NA,NA,NA,"no","3.6.1"
"clusterlab","clusterlab","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.0.2.8",NA,"R (>= 3.4.0)","ggplot2, reshape",NA,"knitr",NA,"AGPL-3",NA,NA,NA,NA,"no","3.6.1"
"CMplot","CMplot","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","3.4.0",NA,"R(>= 2.10)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"cmprsk","cmprsk","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","2.2-9",NA,"R (>= 3.0.0), survival",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"colourpicker","colourpicker","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.0",NA,"R (>= 3.1.0)","ggplot2, htmltools, htmlwidgets (>= 0.7), jsonlite, miniUI (>=
0.1.1), shiny (>= 0.11.1), shinyjs, utils",NA,"knitr (>= 1.7), rmarkdown, rstudioapi (>= 0.5)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"CommonJavaJars","CommonJavaJars","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.0-6",NA,"R (>= 2.8.0)",NA,NA,"rJava, knitr",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"compareGroups","compareGroups","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","4.2.0",NA,"R (>= 2.13.1), SNPassoc","survival, epitools, tools, HardyWeinberg, rmarkdown, knitr,
kableExtra, methods, chron, stats, writexl, flextable, officer",NA,"tcltk2, shiny, shinyBS, shinyjs, shinyjqui, shinythemes,
shinyWidgets, DT, readxl, haven",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"config","config","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.3",NA,NA,"yaml (>= 2.1.13)",NA,"testthat, knitr",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"contfrac","contfrac","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.1-12",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"corrcoverage","corrcoverage","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.1.0",NA,"R (>= 3.5.0)","magrittr, stats, matrixStats, Rcpp","Rcpp","covr, dplyr, knitr, mvtnorm, rmarkdown, testthat, pkgdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"corrplot","corrplot","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.84",NA,NA,NA,NA,"knitr, RColorBrewer, testthat",NA,"GPL",NA,NA,NA,NA,"no","3.6.1"
"countrycode","countrycode","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.1.0",NA,"R (>= 2.10)",NA,NA,"testthat (>= 0.5)",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"CoxBoost","CoxBoost","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.4",NA,"R (>= 2.14.0), survival, Matrix, prodlim",NA,NA,"parallel, snowfall",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"coxme","coxme","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","2.2-14","optional","survival (>= 2.36.14), methods, bdsmatrix(>= 1.3), R(>= 2.10)","nlme, Matrix (>= 1.0)","bdsmatrix","mvtnorm, kinship2",NA,"LGPL-2",NA,NA,NA,NA,"yes","3.6.1"
"Cubist","Cubist","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.2.2",NA,"lattice","reshape2",NA,"mlbench, caret, knitr",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"cyclocomp","cyclocomp","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.1.0",NA,NA,"callr, crayon, desc, remotes, withr",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"d3heatmap","d3heatmap","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.6.1.2",NA,NA,"scales (>= 0.2.5), htmlwidgets, png, base64enc, dendextend (>=
0.18.0), stats, grDevices",NA,"shiny, knitr, rmarkdown",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"d3r","d3r","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.8.7",NA,NA,"dplyr, htmltools, tidyr (>= 0.7.0)",NA,"httr, jsonlite, listviewer, purrr, testthat","igraph, partykit, rpart, treemap, V8","BSD_3_clause + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"DAAG","DAAG","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.22.1",NA,"R (>= 2.10.0), lattice","latticeExtra, methods",NA,"leaps, oz, lme4, quantreg, knitr, boot, rpart, randomForest,
MASS, survival",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
